EntryTime,EntryPrice,ExitTime,ExitPrice,ReturnPct,EquityCurve
2021-08-23 04:00:00,28.024,2021-08-23 12:00:00,27.65,-0.01434570368255789,-0.014345703682557942
2021-08-24 00:00:00,27.568,2021-08-24 16:00:00,25.311,-0.08287028438769593,-0.09602715552633867
2021-08-25 04:00:00,25.907,2021-08-25 12:00:00,26.217,0.010965877948044881,-0.08611429964549355
2021-08-25 16:00:00,25.942,2021-08-25 20:00:00,25.982,0.000541901164135346,-0.08561906392058471
2021-08-26 04:00:00,24.67,2021-08-26 12:00:00,24.06,-0.025726388325902027,-0.10914278295996549
2021-08-26 16:00:00,23.89,2021-08-27 04:00:00,24.94,0.04295144411887822,-0.07087917898437102
2021-08-27 16:00:00,25.82,2021-08-27 20:00:00,26.53,0.026498063516653788,-0.04625927645445327
2021-08-28 08:00:00,25.89,2021-08-28 12:00:00,25.81,-0.004089996137504899,-0.05016007232993569
2021-08-28 16:00:00,25.57,2021-08-29 08:00:00,25.66,0.0025197497066875188,-0.04776671345078887
2021-08-29 12:00:00,25.73,2021-08-29 20:00:00,25.7,-0.002165954139137238,-0.049829207079214344
2021-08-30 04:00:00,25.03,2021-08-30 12:00:00,25.12,0.0025956851777866503,-0.047362862835664044
2021-08-30 20:00:00,26.03,2021-08-31 00:00:00,26.69,0.024355359200922015,-0.024161043171888608
2021-08-31 16:00:00,30.31,2021-08-31 20:00:00,31.35,0.03331210821511062,0.008346209758490097
2021-09-01 12:00:00,30.14,2021-09-01 16:00:00,32.62,0.0812826808228267,0.09030729288519646
2021-09-01 20:00:00,33.18,2021-09-02 04:00:00,32.04,-0.03535804701627488,0.051756156361174366
2021-09-02 12:00:00,31.63,2021-09-03 12:00:00,32.85,0.03757097692064503,0.09127166263796616
2021-09-03 16:00:00,33.72,2021-09-04 08:00:00,33.02,-0.021759193357058,0.06752647152554858
2021-09-04 12:00:00,33.03,2021-09-04 20:00:00,32.4,-0.020073569482288906,0.046097404725197855
2021-09-05 04:00:00,32.18,2021-09-05 12:00:00,33.26,0.03256121814791791,0.080159610524426
2021-09-05 20:00:00,34.42,2021-09-05 20:00:00,34.42,-0.001,0.07907945091390167
2021-09-06 00:00:00,33.69,2021-09-06 04:00:00,34.43,0.020964974769961474,0.10170232437709537
2021-09-06 08:00:00,33.98,2021-09-06 12:00:00,33.92,-0.002765744555620811,0.09865529717153465
2021-09-06 20:00:00,34.35,2021-09-07 00:00:00,34.59,0.005986899563318835,0.10523283609040868
2021-09-07 04:00:00,35.14,2021-09-07 16:00:00,27.26,-0.22524587364826407,-0.14371629965952415
2021-09-08 00:00:00,27.61,2021-09-08 12:00:00,27.96,0.01167656646142707,-0.1337178461226618
2021-09-08 20:00:00,27.76,2021-09-09 04:00:00,28.95,0.04186743515850135,-0.09744883421623551
2021-09-09 20:00:00,29.82,2021-09-10 00:00:00,31.71,0.06238028169014086,-0.04114743825487921
2021-09-10 12:00:00,29.52,2021-09-10 20:00:00,29.19,-0.01217886178861783,-0.05282517108003515
2021-09-11 04:00:00,28.9,2021-09-11 16:00:00,31.57,0.09138754325259522,0.03373480956565755
2021-09-11 20:00:00,31.57,2021-09-12 04:00:00,31.48,-0.003850807728856505,0.02975409557139419
2021-09-12 16:00:00,34.58,2021-09-12 20:00:00,35.79,0.0339913244650087,0.06475680115313298
2021-09-13 00:00:00,34.71,2021-09-13 08:00:00,34.48,-0.007626332469029213,0.05663661178887924
2021-09-13 16:00:00,35.42,2021-09-14 00:00:00,35.21,-0.006928853754940735,0.04931533123367804
2021-09-14 08:00:00,36.3,2021-09-14 16:00:00,37.19,0.02351790633608817,0.07399303091065312
2021-09-14 20:00:00,37.36,2021-09-15 12:00:00,36.73,-0.017862955032119984,0.05480834169468585
2021-09-15 16:00:00,36.52,2021-09-16 04:00:00,35.89,-0.018250821467689006,0.03555722296778696
2021-09-16 08:00:00,35.66,2021-09-16 16:00:00,34.97,-0.020349411104879356,0.014484243314988321
2021-09-17 00:00:00,36.87,2021-09-17 08:00:00,33.56,-0.09077488473013277,-0.07760544693246563
2021-09-17 16:00:00,33.87,2021-09-18 00:00:00,34.02,0.003428697962799105,-0.07444283460746604
2021-09-18 04:00:00,35.02,2021-09-18 12:00:00,34.99,-0.001856653340948062,-0.07616127341083057
2021-09-19 00:00:00,33.92,2021-09-19 16:00:00,34.04,0.0025377358490565284,-0.07381681475561841
2021-09-19 20:00:00,33.85,2021-09-19 20:00:00,33.85,-0.001,-0.07474299794086281
2021-09-20 00:00:00,31.39,2021-09-20 04:00:00,30.68,-0.023618668365721594,-0.0965963362255593
2021-09-20 12:00:00,29.42,2021-09-21 08:00:00,29.71,0.008857239972807584,-0.08859467318319558
2021-09-21 12:00:00,29.13,2021-09-21 20:00:00,26.39,-0.09506110538963262,-0.17523387100840038
2021-09-22 08:00:00,27.97,2021-09-22 16:00:00,31.46,0.1237765462996068,-0.07314716805692423
2021-09-23 08:00:00,30.65,2021-09-23 12:00:00,31.24,0.01824959216965742,-0.05623248187267105
2021-09-23 20:00:00,33.41,2021-09-24 12:00:00,30.14,-0.09887488775815613,-0.14954738929730427
2021-09-24 20:00:00,30.79,2021-09-25 08:00:00,30.55,-0.008794738551477702,-0.15702689765885613
2021-09-25 16:00:00,30.23,2021-09-26 08:00:00,29.17,-0.03606450545815411,-0.18742830570931546
2021-09-26 12:00:00,29.66,2021-09-26 20:00:00,28.84,-0.028646662171274453,-0.21070577252560074
2021-09-27 12:00:00,28.64,2021-09-28 00:00:00,28.09,-0.020203910614525165,-0.22665260254605424
2021-09-28 04:00:00,27.38,2021-09-28 20:00:00,26.31,-0.040079620160701254,-0.25764807248827526
2021-09-29 04:00:00,27.79,2021-09-29 12:00:00,27.62,-0.007117308384310837,-0.26293162008606374
2021-09-30 04:00:00,27.82,2021-09-30 12:00:00,28.09,0.008705248023005017,-0.25651525702899847
2021-09-30 16:00:00,28.41,2021-09-30 20:00:00,28.62,0.006391763463569196,-0.25176307841315526
2021-10-01 16:00:00,32.12,2021-10-02 04:00:00,32.04,-0.0034906600249065473,-0.2543749191244976
2021-10-02 08:00:00,32.19,2021-10-02 12:00:00,32.94,0.022299161230195715,-0.2377481052287771
2021-10-02 16:00:00,33.09,2021-10-03 00:00:00,32.15,-0.029407373828951488,-0.26016393165014107
2021-10-03 04:00:00,31.96,2021-10-03 20:00:00,32.11,0.003693366708385437,-0.2574314457456349
2021-10-04 00:00:00,30.9,2021-10-05 04:00:00,31.4,0.015181229773462784,-0.24615834190095132
2021-10-05 12:00:00,30.85,2021-10-05 16:00:00,31.4,0.016828200972447232,-0.23347254297705766
2021-10-06 00:00:00,30.73,2021-10-06 08:00:00,29.72,-0.033866905304262986,-0.2594324557771711
2021-10-06 20:00:00,32.19,2021-10-07 04:00:00,32.41,0.005834420627524041,-0.25511167322108264
2021-10-07 16:00:00,34.31,2021-10-07 20:00:00,33.98,-0.010618187117458624,-0.26302103685643186
2021-10-08 08:00:00,33.49,2021-10-08 20:00:00,33.35,-0.005180352343983295,-0.26683884755561904
2021-10-09 04:00:00,34.18,2021-10-09 12:00:00,35.4,0.03469338794616732,-0.24140300326680708
2021-10-10 04:00:00,36.24,2021-10-10 08:00:00,36.1,-0.00486313465783666,-0.24509216261295108
2021-10-10 16:00:00,35.63,2021-10-10 20:00:00,34.43,-0.034679483581251835,-0.2712719765649736
2021-10-11 00:00:00,34.78,2021-10-11 04:00:00,35.33,0.0148136860264519,-0.26047682842713027
2021-10-11 08:00:00,35.22,2021-10-11 20:00:00,34.13,-0.03194832481544566,-0.28410335492108885
2021-10-12 00:00:00,33.03,2021-10-12 12:00:00,33.86,0.02412867090523761,-0.2668297203698162
2021-10-12 16:00:00,34.02,2021-10-13 00:00:00,35.08,0.030158142269253233,-0.244718666769141
2021-10-13 04:00:00,34.28,2021-10-13 08:00:00,34.93,0.017961493582263666,-0.23115268594951144
2021-10-13 20:00:00,41.69,2021-10-14 04:00:00,41.0,-0.017550731590309374,-0.2446465187923419
2021-10-14 16:00:00,39.99,2021-10-15 12:00:00,40.19,0.004001250312578038,-0.24162416043955282
2021-10-15 20:00:00,43.28,2021-10-16 16:00:00,41.54,-0.041203327171903927,-0.27287176827622917
2021-10-17 00:00:00,42.68,2021-10-17 12:00:00,41.2,-0.03567666354264285,-0.298813277551795
2021-10-18 08:00:00,41.51,2021-10-18 16:00:00,40.66,-0.02147699349554328,-0.3138726602289764
2021-10-19 00:00:00,41.29,2021-10-19 12:00:00,40.19,-0.027640833131508877,-0.3328377915345534
2021-10-20 00:00:00,41.23,2021-10-20 08:00:00,41.31,0.0009403347077372158,-0.3322104357542427
2021-10-20 20:00:00,44.42,2021-10-21 00:00:00,43.98,-0.010905447996398126,-0.3394929801196622
2021-10-21 04:00:00,43.89,2021-10-21 08:00:00,43.56,-0.008518796992481165,-0.3451197053341315
2021-10-21 12:00:00,42.7,2021-10-22 20:00:00,43.51,0.01796955503512869,-0.33335179783771196
2021-10-23 00:00:00,44.52,2021-10-23 16:00:00,43.14,-0.0319973045822103,-0.35468274341148154
2021-10-24 00:00:00,43.71,2021-10-24 12:00:00,41.75,-0.04584099748341343,-0.3842647301467591
2021-10-24 20:00:00,42.31,2021-10-24 20:00:00,42.31,-0.001,-0.38488046541661236
2021-10-25 04:00:00,43.57,2021-10-25 16:00:00,44.29,0.015525131971540023,-0.375330653463933
2021-10-26 00:00:00,44.01,2021-10-26 08:00:00,43.89,-0.0037266530334014417,-0.37765857937907454
2021-10-26 12:00:00,43.85,2021-10-27 04:00:00,43.18,-0.016279361459521132,-0.38778990031659444
2021-10-27 16:00:00,40.96,2021-10-28 20:00:00,41.82,0.019996093749999985,-0.3755480897686283
2021-10-29 04:00:00,42.54,2021-10-29 20:00:00,44.2,0.03802209685002359,-0.35180511875962883
2021-10-30 00:00:00,43.15,2021-10-30 04:00:00,43.28,0.0020127462340672666,-0.3505004669534706
2021-10-30 08:00:00,43.42,2021-10-30 16:00:00,43.28,-0.0042243205895900636,-0.35324416120384816
2021-10-30 20:00:00,42.73,2021-10-31 20:00:00,42.77,-6.388953896545161e-05,-0.353285482136212
2021-11-01 04:00:00,43.47,2021-11-01 08:00:00,44.84,0.030515988037727274,-0.3335503496452561
2021-11-01 12:00:00,48.79,2021-11-01 20:00:00,49.98,0.023390243902438976,-0.31796192977476345
2021-11-02 12:00:00,51.32,2021-11-03 04:00:00,51.4,0.0005588464536242848,-0.3175807752179812
2021-11-03 08:00:00,51.2,2021-11-04 00:00:00,53.24,0.03884374999999998,-0.2910730534553546
2021-11-04 04:00:00,52.61,2021-11-04 12:00:00,52.9,0.004512260026610895,-0.28787419073267384
2021-11-04 16:00:00,53.62,2021-11-04 20:00:00,53.82,0.002729951510630415,-0.28593012180390553
2021-11-05 00:00:00,52.76,2021-11-05 08:00:00,51.89,-0.0174897649734647,-0.29841903614818577
2021-11-05 12:00:00,50.91,2021-11-05 16:00:00,51.32,0.007053427617364049,-0.29347048560193656
2021-11-05 20:00:00,51.76,2021-11-06 12:00:00,50.36,-0.028047913446676946,-0.31328716426929615
2021-11-06 20:00:00,52.02,2021-11-07 08:00:00,52.95,0.01687773933102652,-0.3016970040325634
2021-11-07 16:00:00,51.89,2021-11-07 20:00:00,52.22,0.005359606860666762,-0.2979543745045522
2021-11-08 12:00:00,53.18,2021-11-08 16:00:00,53.52,0.005393380970289647,-0.29416797498772984
2021-11-09 08:00:00,52.17,2021-11-11 00:00:00,47.93,-0.08227276212382599,-0.3522387252809427
2021-11-11 08:00:00,49.31,2021-11-11 16:00:00,48.65,-0.014384708983978985,-0.3615565827088676
2021-11-12 00:00:00,46.97,2021-11-12 04:00:00,46.18,-0.01781924632744303,-0.37293316322771275
